country_code,year,population
AUT,1981,7568710
AUT,1980,7549433
AUT,1979,7549425
AUT,1978,7562305
AUT,1977,7568430
AUT,1976,7565525
AUT,1975,7578903
AUT,1974,7599038
AUT,1973,7586115
AUT,1972,7544201
AUT,1971,7500482
AUT,1970,7467086
AUT,1969,7441055
AUT,1968,7415403
AUT,1967,7376998
AUT,1966,7322066
AUT,1965,7270889
AUT,1964,7223801
AUT,1963,7175811
AUT,1962,7129864
AUT,1961,7086299
AUT,1960,7047539
AZE,2022,10141756
AZE,2021,10137750
AZE,2020,10093121
AZE,2019,10024283
AZE,2018,9939771
AZE,2017,9854033
AZE,2016,9757812
AZE,2015,9649341
AZE,2014,9535079
AZE,2013,9416801
AZE,2012,9295784
AZE,2011,9173082
AZE,2010,9054332
AZE,2009,8947243
AZE,2008,8763400
AZE,2007,8581300
AZE,2006,8484550
AZE,2005,8391850
AZE,2004,8306500
AZE,2003,8234100
AZE,2002,8171950
AZE,2001,8111200
AZE,2000,8048600
AZE,1999,7982750
AZE,1998,7913000
AZE,1997,7838250
AZE,1996,7763000
AZE,1995,7684850
AZE,1994,7596550
AZE,1993,7494800
AZE,1992,7382050
AZE,1991,7271300
AZE,1990,7175200
AZE,1989,7076550
AZE,1988,6974600
AZE,1987,6875350
AZE,1986,6770300
AZE,1985,6670150
AZE,1984,6567850
AZE,1983,6459800
AZE,1982,6357550
AZE,1981,6257750
AZE,1980,6160500
AZE,1979,6071300
AZE,1978,5976150
AZE,1977,5876150
AZE,1976,5781000
AZE,1975,5689050
AZE,1974,5594100
AZE,1973,5493900
AZE,1972,5391450
AZE,1971,5282950
AZE,1970,5172050
AZE,1969,5063300
AZE,1968,4948500
AZE,1967,4832000
AZE,1966,4708150
AZE,1965,4574650
AZE,1964,4439250
AZE,1963,4293550
AZE,1962,4168150
AZE,1961,4045750
AZE,1960,3894500
BDI,2022,12889576
BDI,2021,12551213
BDI,2020,12220227
BDI,2019,11874838
BDI,2018,11493472
BDI,2017,11155593
BDI,2016,10903327
BDI,2015,10727148
BDI,2014,10494913
BDI,2013,10149577
BDI,2012,9795479
BDI,2011,9455733
BDI,2010,9126605
BDI,2009,8709366
BDI,2008,8278109
BDI,2007,7944609
BDI,2006,7658190
BDI,2005,7388874
BDI,2004,7120496
BDI,2003,6860846
BDI,2002,6648938
BDI,2001,6465729
BDI,2000,6307659
BDI,1999,6180180
BDI,1998,6035340
BDI,1997,5923862
BDI,1996,5930507
BDI,1995,5932783
BDI,1994,5586408
BDI,1993,5555220
BDI,1992,5743085
BDI,1991,5594828
BDI,1990,5483793
BDI,1989,5373697
BDI,1988,5271840
BDI,1987,5157769
BDI,1986,5041706
BDI,1985,4948024
BDI,1984,4842268
BDI,1983,4726506
BDI,1982,4602271
BDI,1981,4490743
BDI,1980,4312834
BDI,1979,4137437
BDI,1978,4039410
BDI,1977,3927428
BDI,1976,3830889
BDI,1975,3749232
BDI,1974,3660032
BDI,1973,3571450
BDI,1972,3579195
BDI,1971,3582070
BDI,1970,3497834
BDI,1969,3424429
BDI,1968,3352397
BDI,1967,3274493
BDI,1966,3193378
BDI,1965,3118134
BDI,1964,3033221
BDI,1963,2948133
BDI,1962,2887398
BDI,1961,2815972
BDI,1960,2746628
BEL,2022,11685814
BEL,2021,11586195
BEL,2020,11538604
BEL,2019,11488980
BEL,2018,11427054
BEL,2017,11375158
BEL,2016,11331422
BEL,2015,11274196
BEL,2014,11209057
BEL,2013,11159407
BEL,2012,11106932
BEL,2011,11038264
BEL,2010,10895586
BEL,2009,10796493
BEL,2008,10709973
BEL,2007,10625700
BEL,2006,10547958
BEL,2005,10478617
BEL,2004,10421137
BEL,2003,10376133
BEL,2002,10332785
BEL,2001,10286570
BEL,2000,10251250
BEL,1999,10226419
BEL,1998,10203008
BEL,1997,10181245
BEL,1996,10156637
BEL,1995,10136811
BEL,1994,10115603
BEL,1993,10084475
BEL,1992,10045158
BEL,1991,10004486
BEL,1990,9967379
BEL,1989,9937697
BEL,1988,9901664
BEL,1987,9870234
BEL,1986,9861823
BEL,1985,9858308
BEL,1984,9855372
BEL,1983,9855520
BEL,1982,9856303
BEL,1981,9858982
BEL,1980,9859242
BEL,1979,9848382
BEL,1978,9839534
BEL,1977,9830358
BEL,1976,9818227
BEL,1975,9800700
BEL,1974,9772419
BEL,1973,9741720
BEL,1972,9711115
BEL,1971,9673162
BEL,1970,9655549
BEL,1969,9646032
BEL,1968,9618756
BEL,1967,9580991
BEL,1966,9527807
BEL,1965,9463667
BEL,1964,9378113
BEL,1963,9289770
BEL,1962,9220578
BEL,1961,9183948
BEL,1960,9153489
BEN,2022,13352864
BEN,2021,12996895
BEN,2020,12643123
BEN,2019,12290444
BEN,2018,11940683
BEN,2017,11596779
BEN,2016,11260085
BEN,2015,10932783
BEN,2014,10614844
BEN,2013,10308730
BEN,2012,10014078
BEN,2011,9726380
BEN,2010,9445710
BEN,2009,9172514
BEN,2008,8906469
BEN,2007,8647761
BEN,2006,8402631
BEN,2005,8149419
BEN,2004,7894554
BEN,2003,7659208
BEN,2002,7431783
BEN,2001,7212041
BEN,2000,6998023
BEN,1999,6788589
BEN,1998,6584183
BEN,1997,6387026
BEN,1996,6203860
BEN,1995,6046511
BEN,1994,5923394
BEN,1993,5706181
BEN,1992,5457778
BEN,1991,5293046
BEN,1990,5133419
BEN,1989,4979680
BEN,1988,4831624
BEN,1987,4688787
BEN,1986,4551382
BEN,1985,4419552
BEN,1984,4293070
BEN,1983,4171526
BEN,1982,4054385
BEN,1981,3941569
BEN,1980,3833939
BEN,1979,3732394
BEN,1978,3636927
BEN,1977,3546454
BEN,1976,3460329
BEN,1975,3378703
BEN,1974,3301276
BEN,1973,3227380
BEN,1972,3156408
BEN,1971,3088381
BEN,1970,3023443
BEN,1969,2961166
BEN,1968,2901218
BEN,1967,2843739
BEN,1966,2788642
BEN,1965,2735843
BEN,1964,2685619
BEN,1963,2638082
BEN,1962,2593302
BEN,1961,2551216
BEN,1960,2512284
BFA,2022,22673762
BFA,2021,22100683
BFA,2020,21522626
BFA,2019,20951639
BFA,2018,20392723
BFA,2017,19835858
BFA,2016,19275498
BFA,2015,18718019
BFA,2014,18169842
BFA,2013,17636408
BFA,2012,17113732
BFA,2011,16602651
BFA,2010,16116845
BFA,2009,15650022
BFA,2008,15197915
BFA,2007,14757074
BFA,2006,14316242
BFA,2005,13876127
BFA,2004,13445977
BFA,2003,13030591
BFA,2002,12632269
BFA,2001,12249764
BFA,2000,11882888
BFA,1999,11533554
BFA,1998,11201063
BFA,1997,10897353
BFA,1996,10621210
BFA,1995,10353263
BFA,1994,10091256
BFA,1993,9840075
BFA,1992,9598555
BFA,1991,9365064
BFA,1990,9131361
BFA,1989,8895234
BFA,1988,8663720
BFA,1987,8434996
BFA,1986,8207827
BFA,1985,7979185
BFA,1984,7751476
BFA,1983,7531184
BFA,1982,7321817
BFA,1981,7123730
BFA,1980,6932967
BFA,1979,6749939
BFA,1978,6577779
BFA,1977,6416569
BFA,1976,6269765
BFA,1975,6138444
BFA,1974,6018141
BFA,1973,5907742
BFA,1972,5805283
BFA,1971,5707793
BFA,1970,5611666
BFA,1969,5515747
BFA,1968,5422119
BFA,1967,5330613
BFA,1966,5242797
BFA,1965,5157929
BFA,1964,5076111
BFA,1963,4998671
BFA,1962,4924497
BFA,1961,4852833
BFA,1960,4783259
BGD,2022,171186372
BGD,2021,169356251
BGD,2020,167420951
BGD,2019,165516222
BGD,2018,163683958
BGD,2017,161793964
BGD,2016,159784568
BGD,2015,157830000
BGD,2014,155961299
BGD,2013,154030139
BGD,2012,152090649
BGD,2011,150211005
BGD,2010,148391139
BGD,2009,146706810
BGD,2008,145421318
BGD,2007,144135934
BGD,2006,142628831
BGD,2005,140912590
BGD,2004,138789725
BGD,2003,136503206
BGD,2002,134139826
BGD,2001,131670484
BGD,2000,129193327
BGD,1999,126754824
BGD,1998,124350471
BGD,1997,122039226
BGD,1996,119876868
BGD,1995,117793338
BGD,1994,115614891
BGD,1993,113418757
BGD,1992,111272102
BGD,1991,109242834
BGD,1990,107147651
BGD,1989,104893674
BGD,1988,102688833
BGD,1987,100490256
BGD,1986,98271746
BGD,1985,95959099
BGD,1984,93534239
BGD,1983,91045478
BGD,1982,88555336
BGD,1981,86154836
BGD,1980,83929765
BGD,1979,81908151
BGD,1978,80007550
BGD,1977,78137788
BGD,1976,76380080
BGD,1975,74700345
BGD,1974,72947807
BGD,1973,71144818
BGD,1972,69346705
BGD,1971,68376204
BGD,1970,67541860
BGD,1969,65866908
BGD,1968,63995652
BGD,1967,62104488
BGD,1966,60265259
BGD,1965,58500159
BGD,1964,56774465
BGD,1963,55094115
BGD,1962,53461661
BGD,1961,51882769
BGD,1960,50396429
BGR,2022,6465097
BGR,2021,6877743
BGR,2020,6934015
BGR,2019,6975761
BGR,2018,7025037
BGR,2017,7075947
BGR,2016,7127822
BGR,2015,7177991
BGR,2014,7223938
BGR,2013,7265115
BGR,2012,7305888
BGR,2011,7348328
BGR,2010,7395599
BGR,2009,7444443
BGR,2008,7492561
BGR,2007,7545338
BGR,2006,7601022
BGR,2005,7658972
BGR,2004,7716860
BGR,2003,7775327
BGR,2002,7837161
BGR,2001,8009142
BGR,2000,8170172
BGR,1999,8210624
BGR,1998,8256786
BGR,1997,8312068
BGR,1996,8362826
BGR,1995,8406067
BGR,1994,8443591
BGR,1993,8472313
BGR,1992,8540164
BGR,1991,8632367
BGR,1990,8718289
BGR,1989,8876972
BGR,1988,8981446
BGR,1987,8971359
BGR,1986,8958171
BGR,1985,8960547
BGR,1984,8960679
BGR,1983,8939738
BGR,1982,8917457
BGR,1981,8891117
BGR,1980,8861535
BGR,1979,8825940
BGR,1978,8814032
BGR,1977,8804183
BGR,1976,8758599
BGR,1975,8720742
BGR,1974,8678745
BGR,1973,8620967
BGR,1972,8576200
BGR,1971,8536395
BGR,1970,8489574
BGR,1969,8434172
BGR,1968,8369603
BGR,1967,8310226
BGR,1966,8258057
BGR,1965,8204168
BGR,1964,8144340
BGR,1963,8078145
BGR,1962,8012946
BGR,1961,7943118
BGR,1960,7867374
BHR,2022,1472233
BHR,2021,1463265
BHR,2020,1477469
BHR,2019,1494188
BHR,2018,1487340
BHR,2017,1456834
BHR,2016,1409661
BHR,2015,1362142
BHR,2014,1311134
BHR,2013,1261673
BHR,2012,1224939
BHR,2011,1212077
BHR,2010,1213645
BHR,2009,1179453
BHR,2008,1110343
BHR,2007,1040532
BHR,2006,970981
BHR,2005,901921
BHR,2004,833451
BHR,2003,778256
BHR,2002,748324
BHR,2001,730257
BHR,2000,711442
BHR,1999,692133
BHR,1998,672484
BHR,1997,652643
BHR,1996,632756
BHR,1995,612934
BHR,1994,593254
BHR,1993,573755
BHR,1992,554470
BHR,1991,535415
BHR,1990,517418
BHR,1989,500349
BHR,1988,483337
BHR,1987,466565
BHR,1986,450196
BHR,1985,434375
BHR,1984,419217
BHR,1983,404772
BHR,1982,391017
BHR,1981,377430
BHR,1980,362595
BHR,1979,346697
BHR,1978,330912
BHR,1977,315337
BHR,1976,300044
BHR,1975,285116
BHR,1974,270627
BHR,1973,256632
BHR,1972,243143
BHR,1971,230992
BHR,1970,222555
BHR,1969,216696
BHR,1968,210801
BHR,1967,204916
BHR,1966,199019
BHR,1965,193012
BHR,1964,186587
BHR,1963,179891
BHR,1962,173359
BHR,1961,166970
BHR,1960,160691
BHS,2022,409984
BHS,2021,407906
BHS,2020,406471
BHS,2019,404557
BHS,2018,401906
BHS,2017,399020
BHS,2016,395976
BHS,2015,392697
BHS,2014,389131
BHS,2013,385650
BHS,2012,382061
BHS,2011,377950
BHS,2010,373272
BHS,2009,368057
BHS,2008,362795
BHS,2007,357666
BHS,2006,352664
BHS,2005,347804
BHS,2004,343089
BHS,2003,338490
BHS,2002,334002
BHS,2001,329626
BHS,2000,325014
BHS,1999,320272
BHS,1998,315398
BHS,1997,310171
BHS,1996,304933
BHS,1995,299554
BHS,1994,293997
BHS,1993,288164
BHS,1992,281973
BHS,1991,276058
BHS,1990,270679
BHS,1989,265493
BHS,1988,260452
BHS,1987,255618
BHS,1986,250804
BHS,1985,245935
BHS,1984,241166
BHS,1983,236586
BHS,1982,232177
BHS,1981,227956
BHS,1980,223752
BHS,1979,219426
BHS,1978,215016
BHS,1977,210534
BHS,1976,206096
BHS,1975,201881
BHS,1974,197767
BHS,1973,193563
